title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_hours,price
How to Learn Online,Learn essential strategies for successful online learning,"1,24,980",Self-paced on your time,edX,Nina Huntemann-Robyn Belair-Ben Piscopo,Introductory,Education & Teacher Training,English,English,6,3895.5
Programming for Everybody (Getting Started with Python),"This course is a ""no prerequisite"" introduction to Python Programming. You will learn about variables, conditional execution, repeated execution and how we use functions. The homework is done in a web browser so you can do all of the programming assignments on a phone or public computer.","2,93,864",Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,English,English,28,3895.5
CS50's Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,"24,42,271",Self-paced on your time,Harvard University,David J. Malan-Doug Lloyd-Brian Yu,Introductory,Computer Science,English,English,216,7155
The Analytics Edge,"Through inspiring examples and stories, discover the power of data and use analytics to provide an edge to your career and your life.","1,29,555",Instructor-led on a course schedule,Massachusetts Institute of Technology,Dimitris Bertsimas-Allison O'Hair-John Silberholz-Iain Dunning,Intermediate,Data Analysis & Statistics,English,English,195,15820.5
Marketing Analytics: Marketing Measurement Strategy,This course is part of a MicroMasters� Program,"81,140",Self-paced on your time,"University of California, Berkeley",Stephan Sorger,Introductory,Computer Science,English,English,28,19795.5
Introduction to Project Management,Learn the principles of project management and apply them in your own work and life.,"3,01,793",Self-paced on your time,University of Adelaide,Frank Schultmann-Noel Lindsay-Anton Jordaan-John Sing,Introductory,Business & Management,English,English,18,15820.5
Leading High-Performing Teams,"Learn how to motivate, engage and empower people to build effective and high performing teams.","32,847",Self-paced on your time,The University of Queensland,Tyler G. Okimoto,Intermediate,Communication,English,English,100,397.5
Focuses on recognizing the distinction between groups and teams; developing an understanding of your own group/team loyalties and priorities and considering the building blocks for high-performing teams. MODULE 2: MOTIVATING AND ENGAGING PEOPLE,,"67,073",Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Business & Management,English,English,12,15820.5
Examines what motivates and engages people at work, developing strategies for improving motivation and engagement in your employees,"23,061",Self-paced on your time,Curtin University,Ben Milbourn-Craig Thompson-Sonya Girdler-Frank Zimmerman,Introductory,Health & Safety,English,English,6,3895.5
Considers the nature of your work relationships, how to develop strategies for strengthening employee trust and attachment to the group,"92,411",Self-paced on your time,Technische Universität München,Martin Grunow-Holly Ott,Introductory,Business & Management,English,English,32,7870.5
Considers how to recognize the ingredients for team execution, how to identify challenges in team communication and coordination,"66,835",Self-paced on your time,Harvard University,Benedict Gross-Joseph Harris-Emily Riehl,Introductory,Math,English,English,35,3895.5
Focuses on recognizing the value of openness and inclusion for problem solving and creative teams, how to develop better problem solving in your teams - both in execution and in team culture. MODULE 6: WHEN GOOD TEAMS FAIL (PART 1): TOO MUCH CONFLICT!,"44,711",Self-paced on your time,National Research Nuclear University,Pavel Kochkin,Introductory,Communication,English,English,30,3895.5
Examines the causes and consequences of serious and escalating conflict, developing strategies for preventing serious/escalating conflict,"83,398",Self-paced on your time,"University of California, Berkeley",Rustie Lin-Mengyi (Gloria) Wang,Introductory,Computer Science,English,English,30,7870.5
Enables you to recognize the warning signs that your team is too cohesive and develop strategies for promoting productive conflict in teams. MODULE 8: BRINGING DIVIDED GROUPS TOGETHER,,NA,Instructor-led on a course schedule,The University of Queensland,Roslyn Petelin,Introductory,Humanities,English,English,32,7870.5
Enables you to recognize patterns and implications of intergroup behavior in your organization, develop strategies for bridging organizational silos and identify the steps for building an inclusive organizational identity. MODULE 9: ORGANIZATIONAL CULTURE,"6,366",Self-paced on your time,SDG Academy,Dr. William Vendley-Jeffrey D. Sachs,Intermediate,Ethics,English,"English, Español, Русский",40,3895.5
Enables you to identify the impact of organizational culture and its (non) alignment to a broader organizational strategy, and recognize points of potential influence when trying to change organizational culture. MODULE 10: BRINGING IT TOGETHER: ANALYZING AND DEVELOPING YOUR TEAM,"72,767",Self-paced on your time,University of Hong Kong,Douglas Arner-Janos Barberis-Huy Nguyen Trieu-Ross Buckley,Introductory,Economics & Finance,English,"English, 中文, 中文",18,15820.5
Develops skills in recognizing the strengths and weaknesses of your team, critically analyzing the processes affecting team effectiveness,"5,28,782",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,16,3895.5
The Foundations of Happiness at Work,Learn why happiness at work matters and how to increase it within yourself and across your organization.,"2,28,809",Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,English,English,25,3100.5
"Managing Study, Stress and Mental Health at University","Develop a clearer understanding of what mental health is, and learn how best to recognise and respond to mental health concerns, such as negative thoughts and behaviours, in yourself and others.","39,085",Self-paced on your time,Wageningen University & Research,Sander Breevaart-Florence Scherer-Nico van der Veen-Esther Kunst,Introductory,Food & Nutrition,English,English,24,3895.5
Six Sigma: Define and Measure,"An introduction to the Six Sigma methodology and the DMAIC cycle for process improvement with a focus on the Define and Measure phases, including basic statistics for understanding sampling plans and calculating process capability.","1,03,640",Instructor-led on a course schedule,Boston University,Barbara Bickart,Advanced,Business & Management,English,English,36,31720.5
Introduction to the Six Sigma Methodology and the DMAIC process improvement cycle. Understand the contributors to the cost of quality. Discuss the difference between defects and defectives in a process and how to calculate process yield, including a comparison of processes of different complexity using the metric DPMO.Week 2: DEFINE - Defining the Problem,"2,58,006",Self-paced on your time,Harvard University,David J. Malan-Brian Yu,Introductory,Computer Science,English,English,210,15820.5
Discuss how to understand customer expectations, using the Kano Model to categorize quality characteristics. Start the first and difficult task of a Six Sigma project,"3,46,748",Self-paced on your time,Harvard University,David J. Malan-Colton Ogden,Intermediate,Computer Science,English,English,108,11845.5
Review of random variables and probability distributions used commonly in quality engineering, such as Binomial,"3,20,225",Self-paced on your time,Harvard University,James Engell,Introductory,Humanities,English,English,24,7870.5
Learn the characteristics of the Normal Distribution and how to use the Standard Normal to calculate probabilities related to normally distributed variables. Cover the Central Limit Theorem, and how it relates to sampling theory.Week 5: MEASURE - Process Mapping,"6,98,950",Self-paced on your time,Harvard University,David J. Malan-Brian Yu,Intermediate,Computer Science,English,English,108,7155
Introduce Process Mapping, including SIPOC and Value Stream Mapping. We identify the Critical-to-Quality characteristic for a Six Sigma projectWeek 6: MEASURE - Measurement System Analysis,"4,14,181",Self-paced on your time,Harvard University,Charles Fried,Intermediate,Business & Management,English,English,48,9937.5
Learn the basics of Measurement Theory and Sampling Plans, including,"3,80,167",Self-paced on your time,Harvard University,David Cox,Introductory,Biology & Life Sciences,English,English,25,7870.5
Precision, Accuracy,"3,92,588",Self-paced on your time,Harvard University,Michael J. Sandel,Introductory,Humanities,English,"Deutsch, English, Español, Português, 中文",72,7870.5
Introduction to Process Capability and the metrics CP/CPK for establishing our baseline process performance.Week 8: Quality Topics and Course Summary Cover the basics of Tolerance Design and the risk assessment tool failure Mode and Effects Analysis (FMEA).,,"2,76,209",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,32,3895.5
"Review the complete Six Sigma Roadmap before summarizing and closing the course. """,https://www.edx.org/course/six-sigma-define-and-measure,"2,12,453",Self-paced on your time,Harvard University,Jacqueline Bhabha,Introductory,Social Sciences,English,English,96,7870.5
Fat Chance: Probability from the Ground Up,Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,"11,03,777",Self-paced on your time,The University of Queensland,Iain Mathieson-Martin Dutton-Megan Yucel-Stephen Walker,Introductory,Communication,English,English,80,7870.5
Chasing your�Dream: How to End Procrastination and Get a Job You Love,"According to the old saying, ""Choose a job you love, and you will never have to work a day in your life."" This courseis geared toward helping you find real purpose in your work and becoming the best version of yourself.","4,06,181",Self-paced on your time,Harvard University,Lisa Haber-Thomson-K. Michael Hays-Erika Naginski-Antoine Picon,Introductory,Architecture,English,English,50,7870.5
"Introduction to the series of courses """"Chasing your Dream"," about what awaits you in the first course """"How to StopProcrastinating"""". Week 2: Problem #1. How to deal with circumstances?","10,22,489",Self-paced on your time,Educational Testing Service,Michael Knab-Cynthia Newman-Shawn Gorman-Molly Palmer,Introductory,Communication,English,English,24,3895.5
Focus on decision-making, take on responsibility,"2,57,600",Self-paced on your time,Harvard University,Alain Viel-Rachelle Gaudet,Intermediate,Medicine,English,English,90,15820.5
Focus on advantages and learn how to concentrate on them and effectively apply them in practice. Learn how to compensate for disadvantages. Solution of Problem #2 - The 'Green Pen' Tool. Week 4: Problem #3: I need guarantees,,"2,62,183",Self-paced on your time,Harvard University,"Jukka-Pekka ""JP"" Onnela",Intermediate,Computer Science,English,English,48,7870.5
Focus on how to fight the fear of mistakes and learn to move through discomfort. There are no guarantees, you must act yourself and learn to take on responsibility. Solution of Problem #3 - The 'Cult of Mistakes' Tool. Week 5: Results of the course,"1,40,782",Self-paced on your time,Harvard University,Neelima Shukla-Bhatt-Jason Smith,Introductory,Humanities,English,English,40,7870.5
What's understood, what's learned,"4,00,169",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno-Virginia González-Cristina Navarro-Begoña García Migura,Introductory,Communication,English,"English, Español",35,3180
Bitcoin and Cryptocurrencies,This course is part of a Professional Certificate,"1,10,024",Self-paced on your time,Harvard University,Aaron Bernstein-Ashish Jha,Introductory,Environmental Studies,English,English,35,7870.5
English Grammar and Style,Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century.,"79,671",Self-paced on your time,Universidades Anáhuac,Judith Margarete Towle Wachenheim-Isabel Rosado Richard-Jorge Ernesto Peniche Rosales-Andrea Josefina Sansores Ruz,Introductory,Business & Management,Español,"English, Español",32,3895.5
Ethics in Action,What do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across faiths? And what role do religious communities have to play in building a more just and sustainable world?,"3,14,586",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Intermediate,Data Analysis & Statistics,English,English,16,19795.5
Chapter 1: Sustainable Development and the Need for Ethics in Action ,,"1,45,011",Self-paced on your time,Harvard University,Michael Brenner-David Weitz-Pia Sörensen,Introductory,Chemistry,English,English,48,15820.5
Chapter 2: The History of Sustainable Development and the SDGs ,,"1,23,870",Self-paced on your time,Harvard University,Peter Der Manuelian,Introductory,Art & Culture,English,English,32,7870.5
Chapter 3: The Moral and Practical Limits of Global Capitalism,,"91,566",Self-paced on your time,Harvard University,Alyssa Goodman,Introductory,Social Sciences,English,English,5,1987.5
Chapter 4: Moral Teachings and Sustainable Development: An Overview from the World�s Religions Module 2: Religion and Virtue Ethics - Part I,,"2,84,279",Self-paced on your time,Universitat Politècnica de Valencia,Jaime Busquets Mataix-Víctor Braquehais Acero,Introductory,Computer Science,Español,Español,32,3975
Chapter 1: Lessons from Classical Greece,,"91,983",Self-paced on your time,Harvard University,Ashish Jha,Introductory,Social Sciences,English,English,20,3895.5
Chapter 2: Lessons from Classical China ,,"1,27,353",Self-paced on your time,Harvard University,Ashish Jha,Intermediate,Social Sciences,English,English,40,7870.5
